"","gene_hgnc","gene","logFC","logCPM","F","PValue","FDR","rank"
"4540","HMGB2","HMGB2",-0.468838721746629,8.27404421378642,38.3604261079249,1.9545352792721e-08,0.000253561861779969,-7.70895648616552
"7497","ODC1","ODC1",-0.505905044507442,7.53655314693547,25.9279004393894,2.06690631064491e-06,0.00670349389199912,-5.68467920875834
"4298","H1-10","H1FX",-0.726739736838983,4.51858354963544,23.2923044291413,5.98141221811846e-06,0.0129328101176085,-5.22319626649189
"1681","CD40LG","CD40LG",-0.280396944616903,7.74278696499032,22.3591552890827,8.77601609239054e-06,0.0162644652523689,-5.05670258907623
"9850","SLC16A6","SLC16A6",-0.546502222626843,4.15102129785244,19.9124041977087,2.44365694371557e-05,0.0263907916121545,-4.61195976320392
"8086","PLEKHF1","PLEKHF1",-0.549388074249996,4.71408838434761,19.5522935588003,2.84800032814433e-05,0.0263907916121545,-4.54545996499611
"12320","ZBTB45","ZBTB45",-0.580837549386628,3.19011271261215,18.7991341453653,3.93118808102691e-05,0.0339995353167747,-4.40547617759987
"11341","TNFSF14","TNFSF14",-0.566845088677356,3.10982466686165,19.1523988368968,5.07832860264788e-05,0.0411757231013444,-4.29427920072511
"6796","MTA1","MTA1",-0.65927027325602,3.40338060802766,16.8757105884314,9.07340669751586e-05,0.0653940583815963,-4.04222962229494
"11468","TRAPPC1","TRAPPC1",-0.306780254364254,6.30178128991039,16.7349303792788,9.65371856775153e-05,0.0659145741997056,-4.01530536620244
"12928","ZNRF1","ZNRF1",-0.875328478757482,2.67135169253246,16.3850961357859,0.000112669578353724,0.0696029733325169,-3.94819333095134
"11087","TLNRD1","MESDC1",-0.562619216756332,3.72328582208034,16.2745182336154,0.000118326379353361,0.0697749145159615,-3.92691842417616
"163","ACVR1","ACVR1",-0.405770840054524,5.26627895795921,14.7271266795862,0.00023659406126534,0.102311158559842,-3.62599616077344
"9319","RPS6KA4","RPS6KA4",-0.617052581428012,3.09949577779097,14.0297804158057,0.000324827283294687,0.124643054247312,-3.48834750009989
"2919","DUSP5","DUSP5",-0.674029620945055,5.19313514551816,13.8363703927555,0.000354865089368315,0.12787957789931,-3.44993672322341
"7744","PDCD1","PDCD1",-0.563547089319871,4.73432965843076,13.4902649523333,0.000415966397686289,0.135620295028249,-3.38094175083682
"5201","KLF11","KLF11",-0.507463883951686,4.56007340578956,13.4452012021795,0.000424684401387031,0.135620295028249,-3.37193369030658
"720","ARRDC2","ARRDC2",-0.515708097927006,6.58171275900533,13.0938614982267,0.000499454748956839,0.137860137408874,-3.30150385312083
