"","gene_hgnc","gene","logFC","logCPM","F","PValue","FDR","rank"
"10827","TATDN3","TATDN3",-0.243083201544898,5.00762661430371,35.9721998958785,4.59410585313092e-08,2.20738278639509e-05,-7.3377990024146
"8589","PTGER4","PTGER4",-0.468325743883233,7.81905979354326,35.6662196684565,5.13239623139001e-08,2.29595090723526e-05,-7.2896798225887
"12651","ZNF442","ZNF442",-0.759243180562619,1.99711699291553,35.1686372395355,6.14967070866401e-08,2.65932260344994e-05,-7.21114813840977
"4335","H3-3B","H3F3B",-0.270193457394163,10.9589282823779,34.5017190977253,7.84621057071617e-08,3.28351257206132e-05,-7.10534004078041
"4134","GPR132","GPR132",-0.487213496977621,5.98777984113841,33.7582927929636,1.03124005855298e-07,4.18071164987745e-05,-6.98664022514397
"11681","TUBA1A","TUBA1A",-0.266282874223654,6.68535599351006,32.9182513680901,1.40752807930969e-07,5.53329144632868e-05,-6.85154293248541
"7856","PFKFB3","PFKFB3",-0.550717536257243,5.51355525026217,32.7822260885581,1.48057736428516e-07,5.64927357260922e-05,-6.82956889458721
"9713","SGK1","SGK1",-0.680191812452903,5.10877146351878,32.6060101269483,1.58102492516774e-07,5.86018181548603e-05,-6.80106128327621
"6960","NAB1","NAB1",-0.466001955227403,5.11969931499359,32.4406048393507,1.68166578032807e-07,6.06006949116559e-05,-6.77426031304588
"912","AVPI1","AVPI1",-0.490344328615805,3.87094405765118,31.3341864061552,2.54729398258364e-07,8.93136346920475e-05,-6.59392093032257
"3734","FOS","FOS",-0.810513831375036,8.95318999154942,30.9477537304137,2.94786013824169e-07,0.000100638393614235,-6.53049312550457
"3736","FOSL2","FOSL2",-0.638738579249475,4.33927754654828,30.2040296993094,3.91051383334228e-07,0.000130079733230639,-6.40776617346769
"4710","IER5","IER5",-0.491526628386211,3.67998593590407,30.0490210687136,4.14879916275848e-07,0.000134555928846164,-6.38207758821679
"11456","TRAF4","TRAF4",-0.802929199441933,3.35573137362174,29.8135643622253,4.5395842787913e-07,0.000138741992838832,-6.34298391667893
"3838","GADD45A","GADD45A",-0.491263719740617,4.4662560564701,29.0508317534808,6.0850581482728e-07,0.000175425465238984,-6.21573526733476
"9102","RND1","RND1",-0.865093676699092,1.55217239034144,36.5061994801536,6.94721689368219e-07,0.000195926619047259,-6.15818914214207
"7762","PDE4B","PDE4B",-0.366594328098968,8.19102285498451,28.0637867197728,8.91951054787088e-07,0.000246197468803253,-6.04965897658699
"6248","MAPK7","MAPK7",-0.416357462318685,3.435909271086,27.9472720470058,9.3336502152485e-07,0.000252261342171706,-6.02994847862055
"6988","NAP1L5","NAP1L5",-0.375316119676634,3.90867444965556,27.7186753820087,1.02044248533415e-06,0.000270167354331427,-5.99121146817076
"7348","NR4A3","NR4A3",-1.0405595138303,3.46413409130147,27.5417411674156,1.09353131883283e-06,0.000283727635984366,-5.96116877421619
"5430","LINC00239","LINC00239",-0.491145085315463,2.68983920356694,26.9521119998952,1.37825667192898e-06,0.000337087392077378,-5.86066989649068
"2348","CSRNP1","CSRNP1",-0.596954156820833,6.53765056046593,26.8748132067348,1.42085301639538e-06,0.000337087392077378,-5.8474508464005
"9780","SIK1","SIK1",-0.747266988666704,4.83333544764656,26.746124217257,1.49478696001743e-06,0.00034061135184956,-5.82542069943437
"676","ARL4C","ARL4C",-0.326301253576737,8.87703818965156,26.7222908294264,1.50890688437062e-06,0.00034061135184956,-5.82133755999364
"10071","SMAD7","SMAD7",-0.63267561049777,3.72561163561866,26.6990401419178,1.5228134130328e-06,0.00034061135184956,-5.81735330654872
"8110","PLK3","PLK3",-0.28847325447233,6.53489856480849,26.3062911986043,1.77864628960796e-06,0.00039109115788278,-5.74991040927679
"3291","ETV3","ETV3",-0.504648530746118,3.98426366835569,26.2211180263164,1.83971634072798e-06,0.000397777334804401,-5.73524913413901
"3261","ERRFI1","ERRFI1",-0.763292172809318,2.0259992963601,26.1155156596872,1.91843148088735e-06,0.000407996911500846,-5.71705370754408
"9120","RNF139","RNF139",-0.272463186098728,7.34975004914441,25.7465237596347,2.22166005284365e-06,0.000464864449444205,-5.65332239385101
"8935","RCOR1","RCOR1",-0.368829987275673,3.8013177809563,25.2792411322288,2.67750890558429e-06,0.000542739422377266,-5.57226907599949
"3761","FRAT1","FRAT1",-0.438770519293307,2.8731440320895,25.1534303148153,2.81591929281923e-06,0.000562014169011443,-5.55037979668388
"11583","TSC22D3","TSC22D3",-0.32553993709883,10.64690152932,25.0411543478677,2.94563279539503e-06,0.000578995367494843,-5.53082139356718
"4121","GPCPD1","GPCPD1",-0.287273766246173,7.09076573668233,24.7565772559758,3.30258205760021e-06,0.000639468612436529,-5.48114638288218
"6392","MED26","MED26",-0.460484050352412,3.47742895288449,24.7067144059904,3.36955574046102e-06,0.000642841862073541,-5.47242735496985
"10167","SNN","SNN",-0.345292937446154,4.71473581732357,24.5992074177074,3.51873632391765e-06,0.000661573425075125,-5.4536132757502
"8837","RASGEF1B","RASGEF1B",-0.649662705327218,2.23445029811862,24.065765731316,4.36569866025195e-06,0.000786614009992341,-5.35994624451013
"4298","H1-10","H1FX",-0.401318566831845,4.51858354963544,23.9579927842444,4.56080302473942e-06,0.000810510926574582,-5.34095868397831
"10285","SNRK","SNRK",-0.207333005464589,8.03266791721778,23.9240618537933,4.62406326427699e-06,0.000810648280100884,-5.33497623273233
"8086","PLEKHF1","PLEKHF1",-0.338807909642567,4.71408838434761,23.7524598762735,4.95806465923795e-06,0.000857612970990585,-5.30468781379911
"9417","RYBP","RYBP",-0.332622869230713,4.72110053973442,23.7017264828368,5.0614779841585e-06,0.00086398097221695,-5.29572264785612
"4297","H1-1","HIST1H1A",-0.605163980295032,2.01737170836795,24.0187170969961,5.27583950532909e-06,0.000888876180553692,-5.27770842446194
"12731","ZNF571","ZNF571",-0.420646739186006,3.65912748246676,23.4834625708669,5.53225352649989e-06,0.000908480063282065,-5.25709792569993
"2940","DYNLT1","DYNLT1",-0.333827527521301,7.22272941333589,23.4048890475113,5.71253192740148e-06,0.000926358458677243,-5.24317135963885
"4922","IRF2BP2","IRF2BP2",-0.255311879454195,6.9402278922763,23.1560289650477,6.32432594259772e-06,0.00100055463967464,-5.19898575552923
"5491","LMNA","LMNA",-0.494146568301993,5.7963146961422,23.0671476949447,6.55879089542633e-06,0.0010102824992569,-5.18317621486868
"9846","SLC16A14","SLC16A14",-0.914077170001547,1.39176040021784,25.0114962063108,6.62903250488444e-06,0.0010102824992569,-5.17854985145202
"7249","NLRP3","NLRP3",-0.44984378161896,3.08968495946659,23.0212629612178,6.68330549256146e-06,0.0010102824992569,-5.17500868690842
"11146","TMEM119","TMEM119",-0.463567025181996,3.25194364319959,23.0161545545208,6.69731711524656e-06,0.0010102824992569,-5.17409913690955
"1003","BCL3","BCL3",-0.538665384375151,4.53963669062255,22.9060924875848,7.00663492797358e-06,0.00104479396460461,-5.15449051029249
"10935","TENT5C","FAM46C",-0.483638099315165,7.65691139431959,22.8155097588836,7.2721878594747e-06,0.0010720692397837,-5.13833491068826
"9962","SLC35F3","SLC35F3",-0.882708576831182,1.40188412005642,22.7209235983415,9.14027174169007e-06,0.0013126055828586,-5.03904089243223
"5050","KBTBD2","KBTBD2",-0.266170576711921,7.15253136316243,22.216593490275,9.30854186564337e-06,0.0013126055828586,-5.03111834364817
"7938","PI4K2A","PI4K2A",-0.377946195305106,4.23637390129188,22.122233494823,9.67915476884007e-06,0.00135019005178669,-5.01416256575522
"11715","TWISTNB","TWISTNB",-0.210624756278557,6.13108819610799,21.8276281786308,1.09367548338788e-05,0.00149350021536747,-4.96111152323218
"3839","GADD45B","GADD45B",-0.429653442807708,6.10148521900147,21.6943028089292,1.15598835309229e-05,0.0015621496775694,-4.93704654153247
"7183","NFKBIE","NFKBIE",-0.511856420234233,3.40509741901052,21.5350936996726,1.23519849252561e-05,0.00165198247871492,-4.90826324703441
"2913","DUSP2","DUSP2",-0.455859549778901,8.26672989616275,21.3144818356495,1.35426872662161e-05,0.0017746392111578,-4.86829515034131
"2764","DNAJB1","DNAJB1",-0.248531038219734,9.78624976391173,21.1057600185794,1.47777759243126e-05,0.00191712087066108,-4.83039092294252
"12268","YPEL5","YPEL5",-0.273461581118752,8.62625801848653,20.9711534706707,1.56351005095454e-05,0.0020082589991122,-4.80589932256939
"6155","MAFF","MAFF",-0.457344228497899,4.11958021343037,20.7436676783075,1.72018679761858e-05,0.00216660032286465,-4.76442438985404
"732","ASAP1-IT1","ASAP1-IT1",-0.705423457131958,1.66111991721287,27.1726528977485,1.78472940557467e-05,0.0021842730734453,-4.74842762076978
"7744","PDCD1","PDCD1",-0.387537555210648,4.73432965843076,20.5734739844832,1.84788333115015e-05,0.002240429014487,-4.73332545207543
"10720","SYAP1","SYAP1",-0.304050419054527,5.93751750250143,20.4599541095244,1.93843344488654e-05,0.00231094694467794,-4.71254910567804
